#Num,collapses/collapsed,reconstruction/irreparable,reconstruction/cost_impractical,reconstruction/cost,reconstruction/time_impractical,reconstruction/time-sequential,reconstruction/time-parallel,event_time/month,event_time/weekday?,event_time/hour
136,0.0,0.0,0.0,1035038.5895071027,0.0,776.4496223650957,107.01050000015462,11,1,7
137,0.0,0.0,0.0,826013.3782937963,0.0,735.0797346621061,138.13178119191386,7,1,16
138,0.0,0.0,0.0,1292465.3287772315,0.0,966.9294398862389,150.72569739193935,3,0,10
139,0.0,0.0,0.0,1580190.6030408368,0.0,1096.828812733936,253.60758648845373,1,1,17
140,0.0,0.0,0.0,728328.2303192838,0.0,498.544343564486,162.76861732079263,8,1,21
141,0.0,0.0,0.0,1508220.6985833705,0.0,1209.5098605078697,187.8976453562402,6,1,6
142,0.0,0.0,0.0,905673.6315174856,0.0,741.2563641659733,57.8646637015073,11,0,11
143,0.0,0.0,0.0,883420.4102834221,0.0,860.7710680503616,254.9231236346831,3,1,5
144,0.0,0.0,0.0,1034758.7073816524,0.0,904.6191023289609,179.25950159902456,5,1,15
145,0.0,0.0,0.0,1032248.8885583981,0.0,981.0905432599991,304.05940560132547,6,0,15
146,0.0,0.0,0.0,1116263.46695866,0.0,748.9052517575406,143.38574747493672,1,1,10
147,0.0,0.0,0.0,1163701.668618233,0.0,903.1358616083058,188.90993499063836,5,0,11
148,0.0,0.0,0.0,1127616.9953956879,0.0,843.6068913550337,99.9836746753484,8,0,9
149,0.0,0.0,0.0,900864.9413281393,0.0,805.4060110350035,131.83845853325735,12,1,23
150,0.0,0.0,0.0,1179387.7221251654,0.0,926.3452257515814,158.2844728568455,4,0,7
151,0.0,0.0,0.0,1006436.6983393598,0.0,765.934201119586,181.73997756944223,9,1,6
152,0.0,0.0,0.0,978794.6940870051,0.0,726.5039267186969,73.63454995217242,5,1,11
153,0.0,0.0,0.0,1041111.2804667067,0.0,925.5802513171327,128.2731238477964,9,1,19
154,0.0,0.0,0.0,991537.5573657078,0.0,818.9073968922361,191.31508026880732,2,1,23
155,0.0,0.0,0.0,839212.4091979827,0.0,544.5457186004063,134.9220073570629,12,1,9
156,0.0,0.0,0.0,1255412.7008932028,0.0,905.6142305036058,262.38198036699777,10,0,22
157,0.0,0.0,0.0,901121.522626846,0.0,718.0053174228328,153.08994875905813,5,1,19
158,0.0,0.0,0.0,1057671.010584129,0.0,825.776928191922,128.57543246121648,5,1,3
159,0.0,0.0,0.0,1334115.8191057527,0.0,1226.8212826074036,262.3955152763468,11,1,16
160,0.0,0.0,0.0,714589.5862750676,0.0,501.9782195525145,91.56475512082262,1,1,7
161,0.0,0.0,0.0,1087739.2251192627,0.0,1009.9074592108292,184.2319102892286,9,1,8
